"Zone","Indiv","X2007","X2008","X2009","X2010","X2011","X2012"
6,899,2.9,6,3,2.8,6.4,3.1
6,901,4.3,4.5,4.1,4.2,5,4.9
6,917,6.4,8.9,7,6.3,6.5,5.3
7,924,8.1,7.8,7.1,6.8,7,6.6
7,963,6.8,7.2,3.7,3.5,4,4.5
7,970,6.2,5.2,5.9,6.2,7.7,6.3
7,977,5.5,5.3,6.4,5.7,7.7,7.9
7,979,6.6,6.3,6.3,7.7,6.6,7.1
7,1000,4.3,5.5,3.6,3.1,6.7,5.8
7,1069,6.2,3.9,4.1,3.8,5.3,7.2
7,1073,7.3,6.3,5.3,6.7,6,8.7
7,1087,5.9,6.7,7.4,5.1,5.3,6.2
7,1109,4.5,4.3,3.4,4.3,2.9,2.4
7,1140,4.7,3.9,5.5,5.2,5.7,3.9
7,1183,7.2,9.3,6.7,7.8,8.3,7.7
7,1188,9.4,8.9,7,6.9,9.5,7.8
7,1247,5.5,5,4.2,3.9,6,4.8
7,1286,7.1,9.5,7.7,5.6,8,8.2
7,1340,7.1,5.7,7.2,6.9,7.3,8.4
7,1358,9,10,8.6,8.5,8.3,8.3
7,1392,3.9,4.7,2.9,3.9,3.8,4.8
7,1477,5.3,5.9,6.2,4.2,5.5,6.1
7,1481,5.4,6.7,6,6,7.2,7
