organisationName,gridReference,year,taxonName,taxonGroup
British Trust for Ornithology,NT2675,2003,Corvus corone,Bird
British Trust for Ornithology,NT2675,2003,Cyanistes caeruleus,Bird
British Trust for Ornithology,NT2675,2003,Chloris chloris,Bird
British Trust for Ornithology,NT2675,2003,Troglodytes troglodytes,Bird
British Trust for Ornithology,NT2675,2003,Columba palumbus,Bird
British Trust for Ornithology,NT2675,2003,Chroicocephalus ridibundus,Bird
British Trust for Ornithology,NT2675,2003,Prunella modularis,Bird
British Trust for Ornithology,NT2675,2003,Larus argentatus,Bird
British Trust for Ornithology,NT2675,2003,Corvus monedula,Bird
British Trust for Ornithology,NT2675,2003,Fringilla coelebs,Bird
British Trust for Ornithology,NT2675,2003,Larus canus,Bird
British Trust for Ornithology,NT2675,2003,Turdus merula,Bird
British Trust for Ornithology,NT27,2003,Branta canadensis,Bird
Scottish Wildlife Trust,NT282723,2004,Fulica atra,Bird
Scottish Wildlife Trust,NT282723,2004,Larus argentatus,Bird
Scottish Wildlife Trust,NT282723,2004,Larus fuscus,Bird
Scottish Wildlife Trust,NT282723,2004,Chroicocephalus ridibundus,Bird
Scottish Wildlife Trust,NT282723,2004,Larus canus,Bird
Scottish Wildlife Trust,NT282723,2004,Columba palumbus,Bird
Scottish Wildlife Trust,NT282723,2004,Picus viridis,Bird
Scottish Wildlife Trust,NT282723,2004,Troglodytes troglodytes,Bird
Scottish Wildlife Trust,NT282723,2004,Prunella modularis,Bird
Scottish Wildlife Trust,NT282723,2004,Erithacus rubecula,Bird
Scottish Wildlife Trust,NT282723,2004,Turdus philomelos,Bird
Scottish Wildlife Trust,NT282723,2004,Turdus merula,Bird
Scottish Wildlife Trust,NT282723,2004,Parus major,Bird
Scottish Wildlife Trust,NT282723,2004,Cyanistes caeruleus,Bird
Scottish Wildlife Trust,NT282723,2004,Aegithalos caudatus,Bird
Scottish Wildlife Trust,NT282723,2004,Certhia familiaris,Bird
Scottish Wildlife Trust,NT282723,2004,Pica pica,Bird
Scottish Wildlife Trust,NT282723,2004,Corvus monedula,Bird
Scottish Wildlife Trust,NT282723,2004,Corvus corone,Bird
Scottish Wildlife Trust,NT282723,2004,Pyrrhula pyrrhula,Bird
Scottish Wildlife Trust,NT282723,2004,Buteo buteo,Bird
Scottish Wildlife Trust,NT282723,2004,Branta canadensis,Bird
Scottish Wildlife Trust,NT282723,2004,Podiceps cristatus,Bird
Scottish Wildlife Trust,NT282723,2004,Ardea cinerea,Bird
Scottish Wildlife Trust,NT282723,2004,Anser anser,Bird
Scottish Wildlife Trust,NT282723,2004,Tachybaptus ruficollis,Bird
Scottish Wildlife Trust,NT282723,2004,Anas platyrhynchos,Bird
Scottish Wildlife Trust,NT282723,2004,Gallinula chloropus,Bird
Scottish Wildlife Trust,NT282723,2004,Cairina moschata,Bird
Scottish Wildlife Trust,NT282723,2004,Cygnus olor,Bird
Scottish Wildlife Trust,NT282723,2004,Phasianus colchicus,Bird
Scottish Wildlife Trust,NT282723,2004,Aythya ferina,Bird
Scottish Wildlife Trust,NT282723,2004,Anas clypeata,Bird
Scottish Wildlife Trust,NT282723,2004,Mergellus albellus,Bird
Scottish Wildlife Trust,NT282723,2004,Accipiter nisus,Bird
Scottish Wildlife Trust,NT282723,2004,Anas crecca,Bird
Scottish Wildlife Trust,NT282723,2004,Aythya fuligula,Bird
Scottish Wildlife Trust,NT282723,2004,Fulica atra,Bird
Scottish Wildlife Trust,NT282723,2004,Larus argentatus,Bird
Scottish Wildlife Trust,NT282723,2004,Larus fuscus,Bird
Scottish Wildlife Trust,NT282723,2004,Chroicocephalus ridibundus,Bird
Scottish Wildlife Trust,NT282723,2004,Columba oenas,Bird
Scottish Wildlife Trust,NT282723,2004,Columba palumbus,Bird
Scottish Wildlife Trust,NT282723,2004,Apus apus,Bird
Scottish Wildlife Trust,NT282723,2004,Picus viridis,Bird
Scottish Wildlife Trust,NT282723,2004,Riparia riparia,Bird
Scottish Wildlife Trust,NT282723,2004,Hirundo rustica,Bird
Scottish Wildlife Trust,NT282723,2004,Motacilla alba,Bird
Scottish Wildlife Trust,NT282723,2004,Troglodytes troglodytes,Bird
Scottish Wildlife Trust,NT282723,2004,Prunella modularis,Bird
Scottish Wildlife Trust,NT282723,2004,Erithacus rubecula,Bird
Scottish Wildlife Trust,NT282723,2004,Turdus philomelos,Bird
Scottish Wildlife Trust,NT282723,2004,Turdus merula,Bird
Scottish Wildlife Trust,NT282723,2004,Sylvia atricapilla,Bird
Scottish Wildlife Trust,NT282723,2004,Phylloscopus trochilus,Bird
Scottish Wildlife Trust,NT282723,2004,Phylloscopus collybita,Bird
Scottish Wildlife Trust,NT282723,2004,Parus major,Bird
Scottish Wildlife Trust,NT282723,2004,Cyanistes caeruleus,Bird
Scottish Wildlife Trust,NT282723,2004,Aegithalos caudatus,Bird
Scottish Wildlife Trust,NT282723,2004,Certhia familiaris,Bird
Scottish Wildlife Trust,NT282723,2004,Pica pica,Bird
Scottish Wildlife Trust,NT282723,2004,Corvus monedula,Bird
Scottish Wildlife Trust,NT282723,2004,Corvus corone,Bird
Scottish Wildlife Trust,NT282723,2004,Fringilla coelebs,Bird
Scottish Wildlife Trust,NT282723,2004,Emberiza schoeniclus,Bird
Scottish Wildlife Trust,NT282723,2004,Branta canadensis,Bird
Scottish Wildlife Trust,NT282723,2004,Phalacrocorax carbo,Bird
Scottish Wildlife Trust,NT282723,2004,Podiceps cristatus,Bird
Scottish Wildlife Trust,NT282723,2004,Ardea cinerea,Bird
Scottish Wildlife Trust,NT282723,2004,Anser anser,Bird
Scottish Wildlife Trust,NT282723,2004,Tachybaptus ruficollis,Bird
Scottish Wildlife Trust,NT282723,2004,Anas platyrhynchos,Bird
Scottish Wildlife Trust,NT282723,2004,Gallinula chloropus,Bird
Scottish Wildlife Trust,NT282723,2004,Cygnus olor,Bird
Scottish Wildlife Trust,NT282723,2004,Phasianus colchicus,Bird
Scottish Wildlife Trust,NT282723,2004,Oxyura jamaicensis,Bird
Scottish Wildlife Trust,NT282723,2004,Accipiter nisus,Bird
Scottish Wildlife Trust,NT282723,2004,Anas crecca,Bird
Scottish Wildlife Trust,NT282723,2004,Aythya fuligula,Bird
Scottish Wildlife Trust,NT282723,2004,Fulica atra,Bird
Scottish Wildlife Trust,NT282723,2004,Actitis hypoleucos,Bird
Scottish Wildlife Trust,NT282723,2004,Larus argentatus,Bird
Scottish Wildlife Trust,NT282723,2004,Larus fuscus,Bird
Scottish Wildlife Trust,NT282723,2004,Chroicocephalus ridibundus,Bird
Scottish Wildlife Trust,NT282723,2004,Columba oenas,Bird
Scottish Wildlife Trust,NT282723,2004,Columba palumbus,Bird
Scottish Wildlife Trust,NT282723,2004,Apus apus,Bird
Scottish Wildlife Trust,NT282723,2004,Picus viridis,Bird
Scottish Wildlife Trust,NT282723,2004,Dendrocopos major,Bird
Scottish Wildlife Trust,NT282723,2004,Hirundo rustica,Bird
Scottish Wildlife Trust,NT282723,2004,Delichon urbicum,Bird
Scottish Wildlife Trust,NT282723,2004,Troglodytes troglodytes,Bird
Scottish Wildlife Trust,NT282723,2004,Prunella modularis,Bird
Scottish Wildlife Trust,NT282723,2004,Erithacus rubecula,Bird
Scottish Wildlife Trust,NT282723,2004,Turdus philomelos,Bird
Scottish Wildlife Trust,NT282723,2004,Turdus merula,Bird
Scottish Wildlife Trust,NT282723,2004,Sylvia communis,Bird
Scottish Wildlife Trust,NT282723,2004,Acrocephalus schoenobaenus,Bird
Scottish Wildlife Trust,NT282723,2004,Phylloscopus trochilus,Bird
Scottish Wildlife Trust,NT282723,2004,Phylloscopus collybita,Bird
Scottish Wildlife Trust,NT282723,2004,Regulus regulus,Bird
Scottish Wildlife Trust,NT282723,2004,Parus major,Bird
Scottish Wildlife Trust,NT282723,2004,Pica pica,Bird
Scottish Wildlife Trust,NT282723,2004,Corvus monedula,Bird
Scottish Wildlife Trust,NT282723,2004,Corvus corone,Bird
Scottish Wildlife Trust,NT282723,2004,Fringilla coelebs,Bird
Scottish Wildlife Trust,NT282723,2004,Pyrrhula pyrrhula,Bird
Scottish Wildlife Trust,NT282723,2004,Emberiza schoeniclus,Bird
Scottish Wildlife Trust,NT282723,2004,Buteo buteo,Bird
Scottish Wildlife Trust,NT282723,2004,Branta canadensis,Bird
Scottish Wildlife Trust,NT282723,2004,Phalacrocorax carbo,Bird
Scottish Wildlife Trust,NT282723,2004,Podiceps cristatus,Bird
Scottish Wildlife Trust,NT282723,2004,Ardea cinerea,Bird
Scottish Wildlife Trust,NT282723,2004,Anser anser,Bird
Scottish Wildlife Trust,NT282723,2004,Tachybaptus ruficollis,Bird
Scottish Wildlife Trust,NT282723,2004,Anas platyrhynchos,Bird
Scottish Wildlife Trust,NT282723,2004,Gallinula chloropus,Bird
Scottish Wildlife Trust,NT282723,2004,Cygnus olor,Bird
Scottish Wildlife Trust,NT282723,2004,Oxyura jamaicensis,Bird
Scottish Wildlife Trust,NT282723,2004,Aythya fuligula,Bird
Scottish Wildlife Trust,NT282723,2004,Fulica atra,Bird
Scottish Wildlife Trust,NT282723,2004,Larus argentatus,Bird
Scottish Wildlife Trust,NT282723,2004,Larus fuscus,Bird
Scottish Wildlife Trust,NT282723,2004,Chroicocephalus ridibundus,Bird
Scottish Wildlife Trust,NT282723,2004,Larus canus,Bird
Scottish Wildlife Trust,NT282723,2004,Columba oenas,Bird
Scottish Wildlife Trust,NT282723,2004,Columba palumbus,Bird
Scottish Wildlife Trust,NT282723,2004,Picus viridis,Bird
Scottish Wildlife Trust,NT282723,2004,Hirundo rustica,Bird
Scottish Wildlife Trust,NT282723,2004,Troglodytes troglodytes,Bird
Scottish Wildlife Trust,NT282723,2004,Erithacus rubecula,Bird
Scottish Wildlife Trust,NT282723,2004,Turdus merula,Bird
Scottish Wildlife Trust,NT282723,2004,Muscicapa striata,Bird
Scottish Wildlife Trust,NT282723,2004,Parus major,Bird
Scottish Wildlife Trust,NT282723,2004,Cyanistes caeruleus,Bird
Scottish Wildlife Trust,NT282723,2004,Aegithalos caudatus,Bird
Scottish Wildlife Trust,NT282723,2004,Pica pica,Bird
Scottish Wildlife Trust,NT282723,2004,Corvus monedula,Bird
Scottish Wildlife Trust,NT282723,2004,Corvus corone,Bird
Scottish Wildlife Trust,NT282723,2004,Fringilla coelebs,Bird
Scottish Wildlife Trust,NT282723,2004,Carduelis carduelis,Bird
Scottish Wildlife Trust,NT282723,2004,Chloris chloris,Bird
Scottish Wildlife Trust,NT282723,2004,Pyrrhula pyrrhula,Bird
Scottish Wildlife Trust,NT282723,2004,Branta canadensis,Bird
Scottish Wildlife Trust,NT282723,2004,Podiceps cristatus,Bird
Scottish Wildlife Trust,NT282723,2004,Ardea cinerea,Bird
Scottish Wildlife Trust,NT282723,2004,Anser anser,Bird
Scottish Wildlife Trust,NT282723,2004,Falco tinnunculus,Bird
Scottish Wildlife Trust,NT282723,2004,Tachybaptus ruficollis,Bird
Scottish Wildlife Trust,NT282723,2004,Anas platyrhynchos,Bird
Scottish Wildlife Trust,NT282723,2004,Gallinula chloropus,Bird
Scottish Wildlife Trust,NT282723,2004,Cygnus olor,Bird
Scottish Wildlife Trust,NT282723,2004,Aythya ferina,Bird
Scottish Wildlife Trust,NT282723,2004,Accipiter nisus,Bird
Scottish Wildlife Trust,NT282723,2004,Anas crecca,Bird
Scottish Wildlife Trust,NT282723,2004,Aythya fuligula,Bird
Scottish Wildlife Trust,NT282723,2004,Anas penelope,Bird
Scottish Wildlife Trust,NT282723,2004,Fulica atra,Bird
Scottish Wildlife Trust,NT282723,2004,Larus argentatus,Bird
Scottish Wildlife Trust,NT282723,2004,Larus fuscus,Bird
Scottish Wildlife Trust,NT282723,2004,Chroicocephalus ridibundus,Bird
Scottish Wildlife Trust,NT282723,2004,Larus canus,Bird
Scottish Wildlife Trust,NT282723,2004,Columba palumbus,Bird
Scottish Wildlife Trust,NT282723,2004,Picus viridis,Bird
Scottish Wildlife Trust,NT282723,2004,Motacilla cinerea,Bird
Scottish Wildlife Trust,NT282723,2004,Troglodytes troglodytes,Bird
Scottish Wildlife Trust,NT282723,2004,Erithacus rubecula,Bird
Scottish Wildlife Trust,NT282723,2004,Turdus philomelos,Bird
Scottish Wildlife Trust,NT282723,2004,Turdus merula,Bird
Scottish Wildlife Trust,NT282723,2004,Regulus regulus,Bird
Scottish Wildlife Trust,NT282723,2004,Parus major,Bird
Scottish Wildlife Trust,NT282723,2004,Periparus ater,Bird
Scottish Wildlife Trust,NT282723,2004,Cyanistes caeruleus,Bird
Scottish Wildlife Trust,NT282723,2004,Pica pica,Bird
Scottish Wildlife Trust,NT282723,2004,Corvus monedula,Bird
Scottish Wildlife Trust,NT282723,2004,Corvus corone,Bird
Scottish Wildlife Trust,NT282723,2004,Fringilla coelebs,Bird
Scottish Wildlife Trust,NT282723,2004,Pyrrhula pyrrhula,Bird
Scottish Wildlife Trust,NT282723,2004,Fulica atra,Bird
Scottish Wildlife Trust,NT282723,2004,Vanellus vanellus,Bird
Scottish Wildlife Trust,NT282723,2004,Larus argentatus,Bird
Scottish Wildlife Trust,NT282723,2004,Larus fuscus,Bird
Scottish Wildlife Trust,NT282723,2004,Chroicocephalus ridibundus,Bird
Scottish Wildlife Trust,NT282723,2004,Larus canus,Bird
Scottish Wildlife Trust,NT282723,2004,Columba palumbus,Bird
Scottish Wildlife Trust,NT282723,2004,Picus viridis,Bird
Scottish Wildlife Trust,NT282723,2004,Motacilla cinerea,Bird
Scottish Wildlife Trust,NT282723,2004,Troglodytes troglodytes,Bird
Scottish Wildlife Trust,NT282723,2004,Erithacus rubecula,Bird
Scottish Wildlife Trust,NT282723,2004,Turdus merula,Bird
Scottish Wildlife Trust,NT282723,2004,Parus major,Bird
Scottish Wildlife Trust,NT282723,2004,Cyanistes caeruleus,Bird
Scottish Wildlife Trust,NT282723,2004,Pica pica,Bird
Scottish Wildlife Trust,NT282723,2004,Corvus monedula,Bird
Scottish Wildlife Trust,NT282723,2004,Corvus corone,Bird
Scottish Wildlife Trust,NT282723,2004,Pyrrhula pyrrhula,Bird
Scottish Wildlife Trust,NT282723,2004,Branta canadensis,Bird
Scottish Wildlife Trust,NT282723,2004,Phalacrocorax carbo,Bird
Scottish Wildlife Trust,NT282723,2004,Mergus merganser,Bird
Scottish Wildlife Trust,NT282723,2004,Ardea cinerea,Bird
Scottish Wildlife Trust,NT282723,2004,Anser anser,Bird
Scottish Wildlife Trust,NT282723,2004,Tachybaptus ruficollis,Bird
Scottish Wildlife Trust,NT282723,2004,Anas platyrhynchos,Bird
Scottish Wildlife Trust,NT282723,2004,Gallinula chloropus,Bird
Scottish Wildlife Trust,NT282723,2004,Cygnus olor,Bird
Scottish Wildlife Trust,NT282723,2004,Phasianus colchicus,Bird
Scottish Wildlife Trust,NT282723,2004,Aythya ferina,Bird
Scottish Wildlife Trust,NT282723,2004,Accipiter nisus,Bird
Scottish Wildlife Trust,NT282723,2004,Anas crecca,Bird
Scottish Wildlife Trust,NT282723,2004,Aythya fuligula,Bird
Scottish Wildlife Trust,NT282723,2004,Rallus aquaticus,Bird
Scottish Wildlife Trust,NT282723,2004,Anas penelope,Bird
Scottish Wildlife Trust,NT282723,2004,Branta canadensis,Bird
Scottish Wildlife Trust,NT282723,2004,Phalacrocorax carbo,Bird
Scottish Wildlife Trust,NT282723,2004,Mergus merganser,Bird
Scottish Wildlife Trust,NT282723,2004,Ardea cinerea,Bird
Scottish Wildlife Trust,NT282723,2004,Anser anser,Bird
Scottish Wildlife Trust,NT282723,2004,Falco tinnunculus,Bird
Scottish Wildlife Trust,NT282723,2004,Tachybaptus ruficollis,Bird
Scottish Wildlife Trust,NT282723,2004,Anas platyrhynchos,Bird
Scottish Wildlife Trust,NT282723,2004,Gallinula chloropus,Bird
Scottish Wildlife Trust,NT282723,2004,Cygnus olor,Bird
Scottish Wildlife Trust,NT282723,2004,Aythya ferina,Bird
Scottish Wildlife Trust,NT282723,2004,Accipiter nisus,Bird
Scottish Wildlife Trust,NT282723,2004,Anas crecca,Bird
Scottish Wildlife Trust,NT282723,2004,Aythya fuligula,Bird
Scottish Wildlife Trust,NT282723,2004,Rallus aquaticus,Bird
Scottish Wildlife Trust,NT282723,2004,Anas penelope,Bird
Scottish Wildlife Trust,NT282723,2004,Tachybaptus ruficollis,Bird
Scottish Wildlife Trust,NT282723,2004,Phalacrocorax carbo,Bird
Scottish Wildlife Trust,NT282723,2004,Ardea cinerea,Bird
Scottish Wildlife Trust,NT282723,2004,Cygnus olor,Bird
Scottish Wildlife Trust,NT282723,2004,Anser anser,Bird
Scottish Wildlife Trust,NT282723,2004,Branta canadensis,Bird
Scottish Wildlife Trust,NT282723,2004,Anas platyrhynchos,Bird
Scottish Wildlife Trust,NT282723,2004,Aythya fuligula,Bird
Scottish Wildlife Trust,NT282723,2004,Aythya ferina,Bird
Scottish Wildlife Trust,NT282723,2004,Anas penelope,Bird
Scottish Wildlife Trust,NT282723,2004,Anas crecca,Bird
Scottish Wildlife Trust,NT282723,2004,Mergus merganser,Bird
Scottish Wildlife Trust,NT282723,2004,Mergellus albellus,Bird
Scottish Wildlife Trust,NT282723,2004,Buteo buteo,Bird
Scottish Wildlife Trust,NT282723,2004,Accipiter nisus,Bird
Scottish Wildlife Trust,NT282723,2004,Phasianus colchicus,Bird
Scottish Wildlife Trust,NT282723,2004,Rallus aquaticus,Bird
Scottish Wildlife Trust,NT282723,2004,Gallinula chloropus,Bird
Scottish Wildlife Trust,NT282723,2004,Fulica atra,Bird
Scottish Wildlife Trust,NT282723,2004,Vanellus vanellus,Bird
Scottish Wildlife Trust,NT282723,2004,Larus argentatus,Bird
Scottish Wildlife Trust,NT282723,2004,Larus fuscus,Bird
Scottish Wildlife Trust,NT282723,2004,Chroicocephalus ridibundus,Bird
Scottish Wildlife Trust,NT282723,2004,Larus canus,Bird
Scottish Wildlife Trust,NT282723,2004,Columba palumbus,Bird
Scottish Wildlife Trust,NT282723,2004,Picus viridis,Bird
Scottish Wildlife Trust,NT282723,2004,Dendrocopos major,Bird
Scottish Wildlife Trust,NT282723,2004,Troglodytes troglodytes,Bird
Scottish Wildlife Trust,NT282723,2004,Erithacus rubecula,Bird
Scottish Wildlife Trust,NT282723,2004,Turdus viscivorus,Bird
Scottish Wildlife Trust,NT282723,2004,Turdus merula,Bird
Scottish Wildlife Trust,NT282723,2004,Regulus regulus,Bird
Scottish Wildlife Trust,NT282723,2004,Parus major,Bird
Scottish Wildlife Trust,NT282723,2004,Cyanistes caeruleus,Bird
Scottish Wildlife Trust,NT282723,2004,Aegithalos caudatus,Bird
Scottish Wildlife Trust,NT282723,2004,Pica pica,Bird
Scottish Wildlife Trust,NT282723,2004,Corvus monedula,Bird
Scottish Wildlife Trust,NT282723,2004,Corvus corone,Bird
Scottish Wildlife Trust,NT282723,2004,Fringilla coelebs,Bird
Scottish Wildlife Trust,NT282723,2004,Carduelis carduelis,Bird
Scottish Wildlife Trust,NT282723,2004,Pyrrhula pyrrhula,Bird
Scottish Wildlife Trust,NT282723,2004,Emberiza schoeniclus,Bird
Scottish Wildlife Trust,NT282723,2004,Fulica atra,Bird
Scottish Wildlife Trust,NT282723,2004,Larus argentatus,Bird
Scottish Wildlife Trust,NT282723,2004,Larus fuscus,Bird
Scottish Wildlife Trust,NT282723,2004,Chroicocephalus ridibundus,Bird
Scottish Wildlife Trust,NT282723,2004,Larus canus,Bird
Scottish Wildlife Trust,NT282723,2004,Columba oenas,Bird
Scottish Wildlife Trust,NT282723,2004,Columba palumbus,Bird
Scottish Wildlife Trust,NT282723,2004,Picus viridis,Bird
Scottish Wildlife Trust,NT282723,2004,Motacilla alba,Bird
Scottish Wildlife Trust,NT282723,2004,Troglodytes troglodytes,Bird
Scottish Wildlife Trust,NT282723,2004,Prunella modularis,Bird
Scottish Wildlife Trust,NT282723,2004,Erithacus rubecula,Bird
Scottish Wildlife Trust,NT282723,2004,Turdus philomelos,Bird
Scottish Wildlife Trust,NT282723,2004,Turdus merula,Bird
Scottish Wildlife Trust,NT282723,2004,Phylloscopus collybita,Bird
Scottish Wildlife Trust,NT282723,2004,Regulus regulus,Bird
Scottish Wildlife Trust,NT282723,2004,Parus major,Bird
Scottish Wildlife Trust,NT282723,2004,Cyanistes caeruleus,Bird
Scottish Wildlife Trust,NT282723,2004,Aegithalos caudatus,Bird
Scottish Wildlife Trust,NT282723,2004,Certhia familiaris,Bird
Scottish Wildlife Trust,NT282723,2004,Pica pica,Bird
Scottish Wildlife Trust,NT282723,2004,Corvus monedula,Bird
Scottish Wildlife Trust,NT282723,2004,Corvus corone,Bird
Scottish Wildlife Trust,NT282723,2004,Fringilla coelebs,Bird
Scottish Wildlife Trust,NT282723,2004,Carduelis carduelis,Bird
Scottish Wildlife Trust,NT282723,2004,Pyrrhula pyrrhula,Bird
Scottish Wildlife Trust,NT282723,2004,Emberiza schoeniclus,Bird
Scottish Wildlife Trust,NT282723,2004,Buteo buteo,Bird
Scottish Wildlife Trust,NT282723,2004,Branta canadensis,Bird
Scottish Wildlife Trust,NT282723,2004,Phalacrocorax carbo,Bird
Scottish Wildlife Trust,NT282723,2004,Podiceps cristatus,Bird
Scottish Wildlife Trust,NT282723,2004,Ardea cinerea,Bird
Scottish Wildlife Trust,NT282723,2004,Anser anser,Bird
Scottish Wildlife Trust,NT282723,2004,Tachybaptus ruficollis,Bird
Scottish Wildlife Trust,NT282723,2004,Anas platyrhynchos,Bird
Scottish Wildlife Trust,NT282723,2004,Gallinula chloropus,Bird
Scottish Wildlife Trust,NT282723,2004,Cygnus olor,Bird
Scottish Wildlife Trust,NT282723,2004,Phasianus colchicus,Bird
Scottish Wildlife Trust,NT282723,2004,Aythya ferina,Bird
Scottish Wildlife Trust,NT282723,2004,Oxyura jamaicensis,Bird
Scottish Wildlife Trust,NT282723,2004,Mergellus albellus,Bird
Scottish Wildlife Trust,NT282723,2004,Accipiter nisus,Bird
Scottish Wildlife Trust,NT282723,2004,Anas crecca,Bird
Scottish Wildlife Trust,NT282723,2004,Aythya fuligula,Bird
Scottish Wildlife Trust,NT282723,2004,Fulica atra,Bird
Scottish Wildlife Trust,NT282723,2004,Larus argentatus,Bird
Scottish Wildlife Trust,NT282723,2004,Larus fuscus,Bird
Scottish Wildlife Trust,NT282723,2004,Chroicocephalus ridibundus,Bird
Scottish Wildlife Trust,NT282723,2004,Columba oenas,Bird
Scottish Wildlife Trust,NT282723,2004,Columba palumbus,Bird
Scottish Wildlife Trust,NT282723,2004,Apus apus,Bird
Scottish Wildlife Trust,NT282723,2004,Picus viridis,Bird
Scottish Wildlife Trust,NT282723,2004,Dendrocopos major,Bird
Scottish Wildlife Trust,NT282723,2004,Riparia riparia,Bird
Scottish Wildlife Trust,NT282723,2004,Hirundo rustica,Bird
Scottish Wildlife Trust,NT282723,2004,Delichon urbicum,Bird
Scottish Wildlife Trust,NT282723,2004,Troglodytes troglodytes,Bird
Scottish Wildlife Trust,NT282723,2004,Prunella modularis,Bird
Scottish Wildlife Trust,NT282723,2004,Erithacus rubecula,Bird
Scottish Wildlife Trust,NT282723,2004,Turdus philomelos,Bird
Scottish Wildlife Trust,NT282723,2004,Turdus merula,Bird
Scottish Wildlife Trust,NT282723,2004,Sylvia atricapilla,Bird
Scottish Wildlife Trust,NT282723,2004,Acrocephalus schoenobaenus,Bird
Scottish Wildlife Trust,NT282723,2004,Phylloscopus trochilus,Bird
Scottish Wildlife Trust,NT282723,2004,Phylloscopus collybita,Bird
Scottish Wildlife Trust,NT282723,2004,Parus major,Bird
Scottish Wildlife Trust,NT282723,2004,Certhia familiaris,Bird
Scottish Wildlife Trust,NT282723,2004,Pica pica,Bird
Scottish Wildlife Trust,NT282723,2004,Corvus monedula,Bird
Scottish Wildlife Trust,NT282723,2004,Corvus corone,Bird
Scottish Wildlife Trust,NT282723,2004,Fringilla coelebs,Bird
Scottish Wildlife Trust,NT282723,2004,Pyrrhula pyrrhula,Bird
Scottish Wildlife Trust,NT282723,2004,Emberiza schoeniclus,Bird
Scottish Wildlife Trust,NT282723,2004,Buteo buteo,Bird
Scottish Wildlife Trust,NT282723,2004,Branta canadensis,Bird
Scottish Wildlife Trust,NT282723,2004,Phalacrocorax carbo,Bird
Scottish Wildlife Trust,NT282723,2004,Podiceps cristatus,Bird
Scottish Wildlife Trust,NT282723,2004,Ardea cinerea,Bird
Scottish Wildlife Trust,NT282723,2004,Anser anser,Bird
