Class,Order,Common Name,Country list,Region,system,biome,realm,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Aves,Galliformes,Wild turkey,Canada,North America,Terrestrial,Boreal forests/taiga,Nearctic,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.002,0.002,0.003,0.003,0.004,0.005,0.006,0.007,0.009,0.01,0.012,0.016,0.018,0.023,0.027,0.033,0.042,0.048,0.061,0.078,0.092,0.124,0.151,0.174,0.202
Aves,Passeriformes,Rusty blackbird,Canada,North America,Terrestrial,Boreal forests/taiga,Nearctic,0,2.091,0.003,0,5.065,0.553,0,0.094,0,0,0,0,0,0,0,0.044,0,0,0,0,0.008,0,0.013,0.007,0,0.01,0,0.025,0.012,0,0.103,0,0.014,0.007,0.028,0.025,0.002,0.024,,,,,,,
Aves,Passeriformes,House finch,Canada,North America,Terrestrial,Boreal forests/taiga,Nearctic,0,0,0,0,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.002,0.002,0.002,0.002,0.002,0.003,0.003,0.003,0.004,0.004,0.005,0.005,0.006,0.006,0.007,0.008,0.008,0.009,0.011,0.012,0.012,0.013,0.015,0.016,0.018,0.02,0.022,0.023
Aves,Anseriformes,Common pintail / Northern pintail,Canada,North America,Freshwater,Temperate coastal rivers,Nearctic,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0.001,0.001,0.001,0.002,0.002,0.002,0.003,0.003,0.004,0.005,0.006,0.007,0.009,0.011,0.013,0.016,0.02,0.024,0.037,0.045,0.039,0.052,0.071,0.135,0.09,0.11,0.168,0.207,0.262,0.417
Aves,Charadriiformes,Bonaparte's gull,"United States, Canada",North America,Freshwater,Temperate floodplain rivers and wetlands,Nearctic,0,0.315,0,0.075,0.074,0.258,0.303,0.153,0.246,2.035,2.32,0.307,0.131,0.102,0.195,0.389,0.311,0.343,0.19,0.356,0.308,0.357,0.112,0.119,0.132,0.055,0.093,0.095,0.077,0.145,0.1,0.369,0.204,0.067,0.094,0.145,0.103,0.177,,,,,,,
Mammalia,Carnivora,Sea otter,United States,North America,Marine,Unknown,Pacific north temperate,0,0,0,0,0,0,,,,,,,2,24,10,14,20,44,26,18,30,28,38,,,,,,,,,,,,,,,,,,,,,,
Aves,Galliformes,Hazel grouse,Russian Federation,Asia,Terrestrial,Boreal forests/taiga,Palearctic,0,30,20,5,60,0,110,30,170,0,0,90,140,0,0,10,10,30,60,,,,,,,,,,,,,,,,,,,,,,,,,,
Mammalia,Carnivora,Grey wolf / Gray wolf,France,Europe,Terrestrial,Temperate broadleaf and mixed forests,Palearctic,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,35,,,,,,,,,,,,,,
Mammalia,Carnivora,Grey wolf / Gray wolf,Germany,Europe,Terrestrial,Temperate broadleaf and mixed forests,Palearctic,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,
Mammalia,Carnivora,Eurasian lynx,France,Europe,Terrestrial,Temperate broadleaf and mixed forests,Palearctic,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,
Mammalia,Carnivora,Eurasian lynx,Italy,Europe,Terrestrial,Temperate broadleaf and mixed forests,Palearctic,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,
Mammalia,Carnivora,Eurasian lynx,Switzerland,Europe,Terrestrial,Temperate broadleaf and mixed forests,Palearctic,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,,,,,,,,,,,,,
Mammalia,Carnivora,Eurasian lynx,Austria,Europe,Terrestrial,Temperate broadleaf and mixed forests,Palearctic,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,,,
Mammalia,Carnivora,Eurasian lynx,Germany,Europe,Terrestrial,Temperate broadleaf and mixed forests,Palearctic,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,
Aves,Falconiformes,Western marsh harrier,United Kingdom,Europe,Terrestrial,Temperate broadleaf and mixed forests,Palearctic,0,0,0,5,7,7,10,15,15,15,20,13,20,25,25,30,35,40,55,60,80,90,115,115,128,165,170,150,,,,,,,,,,,,,,,,,
Aves,Falconiformes,White-tailed eagle,Netherlands,Europe,Terrestrial,Temperate broadleaf and mixed forests,Palearctic,0,1,1,1,2,1,2,2,2,4,2,2,3,2,2,1,1,,2,3,1,2,2,1,1,1,3,1,2,1,1,1,2,3,4,4,4,4,5,4,3,,,,
Aves,Anseriformes,White-headed duck,Morocco,Africa,Freshwater,Temperate coastal rivers,Palearctic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18,35,45,128,,,,,,,,,,,
Aves,Anseriformes,Greylag goose,France,Europe,Freshwater,Temperate coastal rivers,Palearctic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4,3,5,8,10,9,10,13,15,18,24,,,,,,,,,,
Aves,Charadriiformes,Mediterranean gull,France,Europe,Freshwater,Temperate coastal rivers,Palearctic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,,,,,,,,7.5,0,0,550,1266,,,,,,,,,,,
Aves,Ciconiiformes,Cattle egret,Algeria,Africa,Freshwater,Temperate coastal rivers,Palearctic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,732,,,1153,,,,,,1720,,,,,,,,,,,
Aves,Ciconiiformes,Eurasian spoonbill,France,Europe,Freshwater,Temperate coastal rivers,Palearctic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,5,10,12.5,13.5,13,,,,,,,,,
Aves,Phoenicopteriformes,Greater flamingo,Italy,Europe,Freshwater,Temperate coastal rivers,Palearctic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,401,667,865,970,802,879,1246,,,,,,,
Aves,Phoenicopteriformes,Greater flamingo,Italy,Europe,Freshwater,Temperate coastal rivers,Palearctic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,401,667,865,970,802,879,1246,,,,,,,
Aves,Phoenicopteriformes,Greater flamingo,Italy,Europe,Freshwater,Temperate coastal rivers,Palearctic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200,1500,800,2050,,,1000,2500,2392,3250,5700,8000,8000,7600,14250,,,,,,,
Aves,Phoenicopteriformes,Greater flamingo,Italy,Europe,Freshwater,Temperate coastal rivers,Palearctic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200,1500,800,2050,,,1000,2500,2392,3250,5700,8000,8000,7600,14250,,,,,,,
Aves,Ciconiiformes,Great white egret,Spain,Europe,Freshwater,Temperate floodplain rivers and wetlands,Palearctic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,5,7,8,9,9,11,,,,,,,,
Aves,Ciconiiformes,Glossy ibis,Spain,Europe,Freshwater,Temperate floodplain rivers and wetlands,Palearctic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,6,1,12,19,23,26,51,62,102,,,,,,,,
Aves,Gruiformes,Common crane,Turkey,Asia,Freshwater,Xeric freshwaters and endorheic basins,Palearctic,0,6,0,340,,,,,,,,,,,,,52,530,,0,,,,1000,,,,,,,,,,,,,,,,,,,,,
Aves,Ciconiiformes,Great white egret,France,Europe,Freshwater,Temperate coastal rivers,Palearctic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,1,0,0,0,2,11,,,22,,,,,,,,,,
Aves,Pelecaniformes,Great cormorant / Cormorant,France,Europe,Freshwater,Temperate coastal rivers,Palearctic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,16,,,,,45,,,,,,,,,
Aves,Pelecaniformes,Great cormorant / Cormorant,France,Europe,Freshwater,Temperate coastal rivers,Palearctic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,16,,,,,45,,,,,,,,,
Aves,Charadriiformes,Mediterranean gull,France,Europe,Freshwater,Temperate coastal rivers,Palearctic,0,,,1,,,7,,,7,,,13,,,23,,,37,,,122,,,298,,,765,,,1877,,,,,2700,,,,,,,,,
Aves,Anseriformes,Greylag goose,France,Europe,Freshwater,Temperate coastal rivers,Palearctic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3.5,3,5,8.5,10,9,10,13,,,24,,,,,,,,,,
Aves,Ciconiiformes,Great white egret,Italy,Europe,Freshwater,Temperate coastal rivers,Palearctic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,,,7,14,34,30,57,82,64,162,308,,,,,,,,,,,,,,,,
Aves,Falconiformes,Eurasian sparrowhawk / Northern sparrowhawk,United Kingdom,Europe,Terrestrial,Temperate broadleaf and mixed forests,Palearctic,0,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aves,Piciformes,Lesser spotted woodpecker,United Kingdom,Europe,Terrestrial,Temperate broadleaf and mixed forests,Palearctic,0,1,1,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aves,Piciformes,Lesser spotted woodpecker,United Kingdom,Europe,Terrestrial,Temperate broadleaf and mixed forests,Palearctic,0,1,1,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aves,Galliformes,Grey partridge,Canada,North America,Terrestrial,Boreal forests/taiga,Nearctic,0,0,0,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.003,0.003,0.003,0.003,0.003,0.003,0.011,0.004,0.004,0.014,0.062,0.005,0.006,0.006,0.017,0.008,0.008
Aves,Anseriformes,Mute swan,France,Europe,Freshwater,Temperate coastal rivers,Palearctic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,9,12,6,12,16,20,18,,,,,,,,,,
Mammalia,Carnivora,Mink / American mink,Spain,Europe,Freshwater,Temperate floodplain rivers and wetlands,Palearctic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,91,,120,,151,,,,,,,,,,,,,,,,,,,
Aves,Anseriformes,Mute swan,Slovenia,Europe,Freshwater,Temperate upland rivers,Palearctic,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,3,4,5,6,7,8,11,11,14,19,21,22,,,,,,,,,,,,,,,,,,
Aves,Falconiformes,Peregrine falcon,Canada,North America,Terrestrial,Boreal forests/taiga,Nearctic,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.002,0.002,0.002,0.002,0.002,0.003,0.003,0.003,0.003,0.005,0.004,0.006,0.005,0.005,0.005,0.006,0.011,0.007,0.007,0.01,0.008,0.01,0.01,0.011,0.012,0.013,0.023,0.031,0.016,0.018,0.019,0.021,0.027,0.05,0.025
Aves,Galliformes,Wild turkey,Canada,North America,Terrestrial,Boreal forests/taiga,Nearctic,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.002,0.002,0.002,0.002,0.003,0.003,0.004,0.004,0.005,0.005,0.006,0.008,0.009,0.01,0.011,0.013,0.017,0.019,0.021,0.025,0.028,0.037,0.044,0.053,0.063,0.076,0.092,0.117,0.147,0.187,0.231,0.251,0.35,0.425,0.539,0.666
Aves,Passeriformes,House finch,Canada,North America,Terrestrial,Boreal forests/taiga,Nearctic,0.001,0.001,0.001,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.003,0.003,0.003,0.003,0.004,0.004,0.004,0.005,0.005,0.005,0.005,0.005,0.006,0.006,0.017,0.016,0.025,0.039,0.019,0.054,0.063,0.01,0.022,0.198,0.075,0.048,0.034,0.018,0.024,0.085,0.03,0.015,0.017,0.085,0.028
Aves,Podicipediformes,Horned grebe,Canada,North America,Freshwater,Polar freshwaters,Nearctic,0.001,0.001,0.001,0.001,0.001,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.003,0.003,0.003,0.003,0.003,0.003,0.004,0.007,0.004,0.004,0.004,0.004,0.005,0.011,0.005,0.009,0.009,0.005,0.005,0.006,0.009,0.007,0.012,0.028,0.007,0.008,0.008,0.009
Aves,Passeriformes,Tufted titmouse,Canada,North America,Terrestrial,Temperate broadleaf and mixed forests,Nearctic,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.002,0.002,0.002,0.002,0.002,0.003,0.003,0.003,0.003,0.004,0.004,0.004,0.005,0.005,0.006,0.006,0.007,0.007,0.008,0.008,0.009,0.01,0.011,0.012,0.013,0.014,0.017,0.018,0.018,0.02,0.023,0.025,0.026,0.027,0.036,0.035,0.04,0.04
Aves,Strigiformes,Short-eared owl,Canada,North America,Terrestrial,Tundra,Nearctic,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.002,0.002,0.002,0.002,0.002,0.003,0.003,0.004,0.004,0.004,0.005,0.006,0.006,0.007,0.007,0.008,0.008,0.009,0.01,0.01,0.01,0.012,0.012,0.029,0.014,0.027,0.024,0.034,0.083,0.025,0.045,0.068,0.071,0.053,0.22,0.446,0.381,0.273
Aves,Galliformes,Grey partridge,Canada,North America,Terrestrial,Boreal forests/taiga,Nearctic,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.002,0.002,0.002,0.002,0.002,0.003,0.003,0.003,0.003,0.003,0.004,0.004,0.004,0.005,0.005,0.006,0.006,0.007,0.01,0.008,0.008,0.009,0.014,0.01,0.017,0.026,0.038,0.019,0.014,0.022,0.028,0.049,0.06,0.02,0.02,0.024,0.023
Aves,Columbiformes,Mourning dove,Canada,North America,Terrestrial,Boreal forests/taiga,Nearctic,0.002,0.002,0.002,0.003,0.003,0.003,0.005,0.004,0.002,0.002,0.003,0.007,0.002,0.003,0.002,0.005,0.003,0.002,0.003,0.002,0.002,0.002,0.002,0.003,0.003,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.007,0.003,0.003,0.003,0.003,0.003
Aves,Passeriformes,Black-billed magpie / Eurasian magpie,Canada,North America,Terrestrial,Boreal forests/taiga,Nearctic,0.002,0.002,0.002,0.002,0.003,0.003,0.004,0.004,0.005,0.006,0.006,0.007,0.009,0.01,0.011,0.014,0.015,0.017,0.02,0.023,0.027,0.031,0.036,0.041,0.048,0.053,0.062,0.081,0.084,0.1,0.122,0.15,0.158,0.192,0.223,0.261,0.326,0.325,0.377,0.394,0.507,0.539,0.638,0.716,0.819
Aves,Passeriformes,Boreal chickadee,Canada,North America,Terrestrial,Boreal forests/taiga,Nearctic,0.002,0.002,0.003,0.003,0.003,0.003,0.003,0.003,0.004,0.004,0.004,0.004,0.005,0.005,0.005,0.006,0.006,0.006,0.007,0.007,0.007,0.008,0.008,0.009,0.009,0.01,0.011,0.011,0.012,0.013,0.013,0.014,0.015,0.016,0.017,0.018,0.019,0.021,0.022,0.025,0.025,0.026,0.027,0.03,0.032
Aves,Passeriformes,Northern cardinal,Canada,North America,Terrestrial,Temperate broadleaf and mixed forests,Nearctic,0.002,0.002,0.002,0.003,0.003,0.003,0.003,0.004,0.004,0.004,0.005,0.005,0.005,0.005,0.006,0.006,0.007,0.007,0.009,0.009,0.01,0.01,0.012,0.012,0.014,0.016,0.019,0.016,0.025,0.023,0.037,0.024,0.031,0.028,0.034,0.032,0.055,0.038,0.055,0.06,0.046,0.05,0.063,0.071,0.066
Aves,Charadriiformes,Greater yellowlegs,Canada,North America,Freshwater,Temperate coastal rivers,Nearctic,0.002,0.002,0.002,0.002,0.002,0.002,0.003,0.002,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.004,0.004,0.004,0.004,0.004,0.004,0.006,0.005,0.005,0.005,0.007,0.008,0.009,0.01,0.006,0.01,0.007,0.007,0.007,0.008,0.012,0.012,0.009,0.014,0.009,0.009,0.01,0.017,0.011,0.017
Aves,Falconiformes,Bald eagle,Canada,North America,Freshwater,Temperate coastal rivers,Nearctic,0.002,0.002,0.002,0.003,0.003,0.003,0.004,0.004,0.005,0.005,0.006,0.006,0.007,0.008,0.009,0.01,0.011,0.012,0.013,0.015,0.016,0.019,0.02,0.023,0.026,0.028,0.029,0.033,0.043,0.04,0.052,0.055,0.059,0.061,0.068,0.079,0.093,0.1,0.115,0.116,0.131,0.158,0.163,0.213,0.199
Aves,Falconiformes,Bald eagle,Canada,North America,Freshwater,Temperate coastal rivers,Nearctic,0.003,0.003,0.003,0.004,0.004,0.004,0.004,0.005,0.005,0.006,0.006,0.007,0.007,0.008,0.009,0.01,0.011,0.012,0.013,0.014,0.016,0.018,0.019,0.022,0.024,0.027,0.029,0.034,0.037,0.042,0.046,0.053,0.06,0.065,0.074,0.081,0.09,0.116,0.116,0.127,0.142,0.172,0.179,0.22,0.248
Aves,Passeriformes,White-breasted nuthatch,Canada,North America,Terrestrial,Boreal forests/taiga,Nearctic,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.005,0.005,0.005,0.005,0.006,0.006,0.006,0.006,0.006,0.007,0.007,0.007,0.007,0.007,0.008,0.008,0.009,0.009,0.009,0.01,0.01,0.014,0.018,0.015,0.012,0.013,0.012,0.012,0.015,0.018,0.014,0.025,0.017,0.018,0.019,0.024,0.019,0.019
Aves,Passeriformes,Pine warbler,Canada,North America,Terrestrial,Temperate broadleaf and mixed forests,Nearctic,0.004,0.004,0.005,0.006,0.006,0.007,0.008,0.009,0.01,0.011,0.012,0.013,0.015,0.017,0.018,0.021,0.023,0.026,0.029,0.032,0.036,0.04,0.044,0.052,0.055,0.069,0.073,0.084,0.084,0.093,0.105,0.122,0.125,0.137,0.153,0.171,0.187,0.221,0.27,0.307,0.32,0.392,0.412,0.481,0.52
Aves,Anseriformes,Hooded merganser,Canada,North America,Freshwater,Temperate coastal rivers,Nearctic,0.004,0.004,0.004,0.005,0.005,0.005,0.006,0.006,0.006,0.007,0.008,0.008,0.008,0.009,0.009,0.01,0.011,0.012,0.012,0.013,0.014,0.015,0.016,0.017,0.018,0.019,0.022,0.021,0.022,0.027,0.026,0.028,0.029,0.032,0.035,0.037,0.038,0.044,0.044,0.045,0.05,0.051,0.056,0.064,0.062
Aves,Anseriformes,Common merganser / Goosander,Canada,North America,Freshwater,Temperate coastal rivers,Nearctic,0.004,0.004,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.004,0.003,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
Aves,Anseriformes,Common pintail / Northern pintail,Canada,North America,Freshwater,Temperate coastal rivers,Nearctic,0.004,0.029,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.01,0.004,0.004,0.004,0.005,0.004,0.004,0.005,0.005,0.005,0.004,0.005,0.011,0.005,0.005,0.005,0.015,0.006,0.006,0.006,0.006,0.017,0.007,0.007,0.007,0.005,0.02,0.025,0.016,0.004,0.005,0.007,0.079,0.008,0.007
Aves,Strigiformes,Great grey owl,Canada,North America,Terrestrial,Temperate coniferous forests,Nearctic,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.007,0.007,0.004,0.004,0.004,0.004,0.004,0.004,0.012,0.004,0.004,0.007,0.004,0.004,0.004,0.004,0.004,0.007,0.004,0.004,0.004,0.004,0.004,0.004,0.006,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004
Aves,Passeriformes,House finch,Canada,North America,Terrestrial,Boreal forests/taiga,Nearctic,0.004,0.004,0.004,0.005,0.005,0.006,0.006,0.007,0.007,0.008,0.008,0.009,0.01,0.01,0.012,0.012,0.029,0.087,0.24,0.399,0.573,0.954,1.41,2.42,2.32,3.43,1.8,1.3,1.22,1.41,1.89,0.664,0.876,0.823,0.73,0.772,0.457,0.567,0.542,0.452,0.67,0.487,0.347,0.404,0.326
